,0
297,45670680
298,46126675
299,46585695
300,47047750
301,47512850
302,47981005
303,48452225
304,48926520
305,49403900
306,49884375
307,50367955
308,50854650
309,51344470
310,51837425
311,52333525
312,52832780
313,53335200
314,53840795
315,54349575
316,54861550
317,55376730
318,55895125
319,56416745
320,56941600
321,57469700
322,58001055
323,58535675
324,59073570
325,59614750
326,60159225
327,60707005
328,61258100
329,61812520
330,62370275
331,62931375
332,63495830
333,64063650
334,64634845
335,65209425
336,65787400
337,66368780
338,66953575
339,67541795
340,68133450
341,68728550
342,69327105
343,69929125
344,70534620
345,71143600
346,71756075
347,72372055
348,72991550
349,73614570
350,74241125
351,74871225
352,75504880
353,76142100
354,76782895
355,77427275
356,78075250
357,78726830
358,79382025
359,80040845
360,80703300
361,81369400
362,82039155
363,82712575
364,83389670
365,84070450
366,84754925
367,85443105
368,86135000
369,86830620
370,87529975
371,88233075
372,88939930
373,89650550
374,90364945
375,91083125
376,91805100
377,92530880
378,93260475
379,93993895
380,94731150
381,95472250
382,96217205
383,96966025
384,97718720
385,98475300
386,99235775
387,100000155
388,100768450
389,101540670
390,102316825
391,103096925
392,103880980
393,104669000
394,105460995
395,106256975
396,107056950
397,107860930
398,108668925
399,109480945
400,110297000
401,111117100
402,111941255
403,112769475
404,113601770
405,114438150
406,115278625
407,116123205
408,116971900
409,117824720
410,118681675
411,119542775
412,120408030
413,121277450
414,122151045
415,123028825
416,123910800
417,124796980
418,125687375
419,126581995
420,127480850
421,128383950
422,129291305
423,130202925
424,131118820
425,132039000
426,132963475
427,133892255
428,134825350
429,135762770
430,136704525
431,137650625
432,138601080
433,139555900
434,140515095
435,141478675
436,142446650
437,143419030
438,144395825
439,145377045
440,146362700
441,147352800
442,148347355
443,149346375
444,150349870
445,151357850
446,152370325
447,153387305
448,154408800
449,155434820
450,156465375
451,157500475
452,158540130
453,159584350
454,160633145
455,161686525
456,162744500
457,163807080
458,164874275
459,165946095
460,167022550
461,168103650
462,169189405
463,170279825
464,171374920
465,172474700
466,173579175
467,174688355
468,175802250
469,176920870
470,178044225
471,179172325
472,180305180
473,181442800
474,182585195
475,183732375
476,184884350
477,186041130
478,187202725
479,188369145
480,189540400
481,190716500
482,191897455
483,193083275
484,194273970
485,195469550
486,196670025
487,197875405
488,199085700
489,200300920
490,201521075
491,202746175
492,203976230
493,205211250
494,206451245
495,207696225
496,208946200
497,210201180
498,211461175
499,212726195
500,213996250
501,215271350
502,216551505
503,217836725
504,219127020
505,220422400
506,221722875
507,223028455
508,224339150
509,225654970
510,226975925
511,228302025
512,229633280
513,230969700
514,232311295
515,233658075
516,235010050
517,236367230
518,237729625
519,239097245
520,240470100
521,241848200
522,243231555
523,244620175
524,246014070
525,247413250
526,248817725
527,250227505
528,251642600
529,253063020
530,254488775
531,255919875
532,257356330
533,258798150
534,260245345
535,261697925
536,263155900
537,264619280
538,266088075
539,267562295
540,269041950
541,270527050
542,272017605
543,273513625
544,275015120
545,276522100
546,278034575
547,279552555
548,281076050
549,282605070
550,284139625
551,285679725
552,287225380
553,288776600
554,290333395
555,291895775
556,293463750
557,295037330
558,296616525
559,298201345
560,299791800
561,301387900
562,302989655
563,304597075
564,306210170
565,307828950
566,309453425
567,311083605
568,312719500
569,314361120
570,316008475
571,317661575
572,319320430
573,320985050
574,322655445
575,324331625
576,326013600
577,327701380
578,329394975
579,331094395
580,332799650
581,334510750
582,336227705
583,337950525
584,339679220
585,341413800
586,343154275
587,344900655
588,346652950
589,348411170
590,350175325
591,351945425
592,353721480
593,355503500
594,357291495
595,359085475
596,360885450
597,362691430
598,364503425
599,366321445
600,368145500
601,369975600
602,371811755
603,373653975
604,375502270
605,377356650
606,379217125
607,381083705
608,382956400
609,384835220
610,386720175
611,388611275
612,390508530
613,392411950
614,394321545
615,396237325
616,398159300
617,400087480
618,402021875
619,403962495
620,405909350
621,407862450
622,409821805
623,411787425
624,413759320
625,415737500
626,417721975
627,419712755
628,421709850
629,423713270
630,425723025
631,427739125
632,429761580
633,431790400
634,433825595
635,435867175
636,437915150
637,439969530
638,442030325
639,444097545
640,446171200
641,448251300
642,450337855
643,452430875
644,454530370
645,456636350
646,458748825
647,460867805
648,462993300
649,465125320
650,467263875
651,469408975
652,471560630
653,473718850
654,475883645
655,478055025
656,480233000
657,482417580
658,484608775
659,486806595
660,489011050
661,491222150
662,493439905
663,495664325
664,497895420
665,500133200
666,502377675
667,504628855
668,506886750
669,509151370
670,511422725
671,513700825
672,515985680
673,518277300
674,520575695
675,522880875
676,525192850
677,527511630
678,529837225
679,532169645
680,534508900
681,536855000
682,539207955
683,541567775
684,543934470
685,546308050
686,548688525
687,551075905
688,553470200
689,555871420
690,558279575
691,560694675
692,563116730
693,565545750
694,567981745
695,570424725
696,572874700
697,575331680
698,577795675
699,580266695
700,582744750
701,585229850
702,587722005
703,590221225
704,592727520
705,595240900
706,597761375
707,600288955
708,602823650
709,605365470
710,607914425
711,610470525
712,613033780
713,615604200
714,618181795
715,620766575
716,623358550
717,625957730
718,628564125
719,631177745
720,633798600
721,636426700
722,639062055
723,641704675
724,644354570
725,647011750
726,649676225
727,652348005
728,655027100
729,657713520
730,660407275
731,663108375
732,665816830
733,668532650
734,671255845
735,673986425
736,676724400
737,679469780
738,682222575
739,684982795
740,687750450
741,690525550
742,693308105
743,696098125
744,698895620
745,701700600
746,704513075
747,707333055
748,710160550
749,712995570
750,715838125
751,718688225
752,721545880
753,724411100
754,727283895
755,730164275
756,733052250
757,735947830
758,738851025
759,741761845
760,744680300
761,747606400
762,750540155
763,753481575
764,756430670
765,759387450
766,762351925
767,765324105
768,768304000
769,771291620
770,774286975
771,777290075
772,780300930
773,783319550
774,786345945
775,789380125
776,792422100
777,795471880
778,798529475
779,801594895
780,804668150
781,807749250
782,810838205
783,813935025
784,817039720
785,820152300
786,823272775
787,826401155
788,829537450
789,832681670
790,835833825
791,838993925
792,842161980
793,845338000
794,848521995
795,851713975
796,854913950
797,858121930
798,861337925
799,864561945
800,867794000
801,871034100
802,874282255
803,877538475
804,880802770
805,884075150
806,887355625
807,890644205
808,893940900
809,897245720
810,900558675
811,903879775
812,907209030
813,910546450
814,913892045
815,917245825
816,920607800
817,923977980
818,927356375
819,930742995
820,934137850
821,937540950
822,940952305
823,944371925
824,947799820
825,951236000
826,954680475
827,958133255
828,961594350
829,965063770
830,968541525
831,972027625
832,975522080
833,979024900
834,982536095
835,986055675
836,989583650
837,993120030
838,996664825
839,1000218045
840,1003779700
841,1007349800
842,1010928355
843,1014515375
844,1018110870
845,1021714850
846,1025327325
847,1028948305
848,1032577800
849,1036215820
850,1039862375
851,1043517475
852,1047181130
853,1050853350
854,1054534145
855,1058223525
856,1061921500
857,1065628080
858,1069343275
859,1073067095
860,1076799550
861,1080540650
862,1084290405
863,1088048825
864,1091815920
865,1095591700
866,1099376175
867,1103169355
868,1106971250
869,1110781870
870,1114601225
871,1118429325
872,1122266180
873,1126111800
874,1129966195
875,1133829375
876,1137701350
877,1141582130
878,1145471725
879,1149370145
880,1153277400
881,1157193500
882,1161118455
883,1165052275
884,1168994970
885,1172946550
886,1176907025
887,1180876405
888,1184854700
889,1188841920
890,1192838075
891,1196843175
892,1200857230
893,1204880250
894,1208912245
895,1212953225
896,1217003200
897,1221062180
898,1225130175
899,1229207195
900,1233293250
901,1237388350
902,1241492505
903,1245605725
904,1249728020
905,1253859400
906,1257999875
907,1262149455
908,1266308150
909,1270475970
910,1274652925
911,1278839025
912,1283034280
913,1287238700
914,1291452295
915,1295675075
916,1299907050
917,1304148230
918,1308398625
919,1312658245
920,1316927100
921,1321205200
922,1325492555
923,1329789175
924,1334095070
925,1338410250
926,1342734725
927,1347068505
928,1351411600
929,1355764020
930,1360125775
931,1364496875
932,1368877330
933,1373267150
934,1377666345
935,1382074925
936,1386492900
937,1390920280
938,1395357075
939,1399803295
940,1404258950
941,1408724050
942,1413198605
943,1417682625
944,1422176120
945,1426679100
946,1431191575
947,1435713555
948,1440245050
949,1444786070
950,1449336625
951,1453896725
952,1458466380
953,1463045600
954,1467634395
955,1472232775
956,1476840750
957,1481458330
958,1486085525
959,1490722345
960,1495368800
961,1500024900
962,1504690655
963,1509366075
964,1514051170
965,1518745950
966,1523450425
967,1528164605
968,1532888500
969,1537622120
970,1542365475
971,1547118575
972,1551881430
973,1556654050
974,1561436445
975,1566228625
976,1571030600
977,1575842380
978,1580663975
979,1585495395
980,1590336650
981,1595187750
982,1600048705
983,1604919525
984,1609800220
985,1614690800
986,1619591275
987,1624501655
988,1629421950
989,1634352170
990,1639292325
991,1644242425
992,1649202480
993,1654172500
994,1659152495
995,1664142475
996,1669142450
997,1674152430
998,1679172425
999,1684202445
1000,1689242500
